Id,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
138,"Eureka Forbes Quick Clean DX Vacuum Cleaner with 1200 Watts Powerful Suction Control, 3 Free Reusable dust Bag worth Rs 50...",appliances,All Appliances,https://m.media-amazon.com/images/I/71JS5wMHfnL._AC_UL320_.jpg,https://www.amazon.in/Eureka-Forbes-Quick-Clean-DX/dp/B00F3ABSXU/ref=sr_1_139?qid=1679135592&s=appliances&sr=1-139,3.9,"33,779","₹3,299","₹4,499"
139,"SKYTONE Stainless Steel Electric Meat Grinders with Bowl 700W Heavy for Kitchen Food Chopper, Meat, Vegetables, Onion , Ga...",appliances,All Appliances,https://m.media-amazon.com/images/I/71XQblO2R9L._AC_UL320_.jpg,https://www.amazon.in/SKYTONE-Stainless-Electric-Grinders-Vegetables/dp/B09F6KL23R/ref=sr_1_140?qid=1679135592&s=appliances&sr=1-140,3.9,"1,746","₹1,424","₹2,799"
140,"Tata Swach Bulb 6000-Litre Cartridge, 1 Piece, White, Hollow Fiber Membrane",appliances,All Appliances,https://m.media-amazon.com/images/I/51U1lbldo-L._AC_UL320_.jpg,https://www.amazon.in/Tata-Swach-Bulb-6000-Litre-Cartridge/dp/B07FXLC2G2/ref=sr_1_141?qid=1679135592&s=appliances&sr=1-141,4.2,"3,316",₹698,₹699
141,"Zerfa® Washer Dryer Anti Vibration Pad with Suction Cup Feet, Fridge Washing Machine Support Feet Pads Leveling Feet Anti ...",appliances,All Appliances,https://m.media-amazon.com/images/I/61GBwi5t+fL._AC_UL320_.jpg,https://www.amazon.in/Vibration-Leveling-Absorber-Cancelling-Furniture/dp/B09S41QSMC/ref=sr_1_142?qid=1679135592&s=appliances&sr=1-142,4.0,"2,465",₹251,₹999
142,"Voltas 1.4 Ton 3 Star Inverter Split AC(Copper, Adjustable Cooling, Anti-dust Filter, 2023 Model, 173V Vectra Platina, White)",appliances,All Appliances,https://m.media-amazon.com/images/I/41TuyxwZ9mL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-173V-Vectra-Platina/dp/B0BRJ7N92P/ref=sr_1_143?qid=1679135592&s=appliances&sr=1-143,4.0,"1,666","₹31,990","₹70,990"
143,"Simxen Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying 400 W (Blue, Pink)",appliances,All Appliances,https://m.media-amazon.com/images/I/51RgedEIYBL._AC_UL320_.jpg,https://www.amazon.in/Simxen-Electric-Automatic-Steaming-Multicolour/dp/B07H3WDC4X/ref=sr_1_144?qid=1679135592&s=appliances&sr=1-144,4.0,"16,163",₹399,₹999
144,"LG 7 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T70SKSF1Z, Middle Free Silver, Smart Motion & TurboDrum)",appliances,All Appliances,https://m.media-amazon.com/images/I/71xTwKIBX-L._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Fully-Automatic-Loading-T70SKSF1Z/dp/B08DF1Y7T7/ref=sr_1_145?qid=1679135594&s=appliances&sr=1-145,4.3,"13,541","₹17,490","₹27,990"
145,Orient Electric Wall-49 Wall-Mounted Fan with Remote | 400mm Wall Fan for Home (Crystal White),appliances,All Appliances,https://m.media-amazon.com/images/I/81rclwpwmYL._AC_UL320_.jpg,https://www.amazon.in/Orient-Electric-Wall-49-Remote-Crystal/dp/B01DLTWNTM/ref=sr_1_146?qid=1679135594&s=appliances&sr=1-146,4.1,"4,088","₹2,910","₹4,235"
146,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & L...",appliances,All Appliances,https://m.media-amazon.com/images/I/51HsWbTBzwL._AC_UL320_.jpg,https://www.amazon.in/Preethi-Blue-Leaf-Diamond-750-Watt/dp/B0188KPKB2/ref=sr_1_147?qid=1679135594&s=appliances&sr=1-147,4.1,"12,096","₹3,599","₹9,455"
147,MILTON Smart Egg Boilers | Instand Egg Boiler | Boil up to 7 Eggs,appliances,All Appliances,https://m.media-amazon.com/images/I/916jgWAGP4L._AC_UL320_.jpg,https://www.amazon.in/MILTON-Smart-Egg-Boiler-Transparent/dp/B08TTRVWKY/ref=sr_1_148?qid=1679135594&s=appliances&sr=1-148,4.3,"1,985",₹999,"₹1,899"
148,"FASTMART Coffee Milk Egg Beater Electric Foam Hand Blender Mixer Classic Sleek Design Froth Whisker Latte Maker for Milk,C...",appliances,All Appliances,https://m.media-amazon.com/images/I/71zvrlciRnL._AC_UL320_.jpg,https://www.amazon.in/FASTMART-Electric-Blender-Classic-Cappuccino/dp/B0BT86LM9G/ref=sr_1_149?qid=1679135594&s=appliances&sr=1-149,4.2,11,₹229,₹699
149,"Absorbia Moisture Absorber Absorbia Classic - Season Pack of 6 (300ml Each) Dehumidier for Wardrobe, Cupboards & Closets F...",appliances,All Appliances,https://m.media-amazon.com/images/I/71pzBkt6JtL._AC_UL320_.jpg,https://www.amazon.in/Absorbia-Moisture-Absorber-Season-Pack/dp/B01GDC0GMA/ref=sr_1_150?qid=1679135594&s=appliances&sr=1-150,4.3,"6,36",₹923,₹945
150,Prestige Iris 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar (White and Blue),appliances,All Appliances,https://m.media-amazon.com/images/I/81+M1QrVNIL._AC_UL320_.jpg,https://www.amazon.in/Prestige-Iris-Grinder-Stainless-Juicer/dp/B0756K5DYZ/ref=sr_1_151?qid=1679135594&s=appliances&sr=1-151,3.9,"43,702","₹3,249","₹5,295"
151,KENT 16044 Hand Blender Stainless Steel 400 W | Variable Speed Control | Easy to Clean and Store | Low Noise Operation,appliances,All Appliances,https://m.media-amazon.com/images/I/51x7cJG02PS._AC_UL320_.jpg,https://www.amazon.in/Kent-KENT-Hand-Blender/dp/B07QHHCB27/ref=sr_1_152?qid=1679135594&s=appliances&sr=1-152,4.1,"6,62","₹1,454","₹2,100"
152,Aquadpure Copper + Mineral RO+UV+UF 10 to 12 Liter RO + UV + TDS ADJUSTER Water Purifier with Copper Charge Technology bla...,appliances,All Appliances,https://m.media-amazon.com/images/I/71LdkxeMnSL._AC_UL320_.jpg,https://www.amazon.in/Aquadpure-Copper-ADJUSTER-Purifier-Technology/dp/B0BJ966M5K/ref=sr_1_153?qid=1679135594&s=appliances&sr=1-153,4.6,692,,"₹4,999"
153,"Prestige IRIS LPG Gas Stove, 2 Burner, Black, Powder coater Mild Steel with Glass Top, Manual",appliances,All Appliances,https://m.media-amazon.com/images/I/51JyelsZUKL._AC_UL320_.jpg,https://www.amazon.in/Prestige-IRIS-Stove-Burner-Black/dp/B08HNQ3PBV/ref=sr_1_154?qid=1679135594&s=appliances&sr=1-154,4.0,"6,86","₹2,949","₹5,850"
154,Prestige PIC 16.0+ 2000W Induction Cooktop with Soft Touch Push Buttons (Black),appliances,All Appliances,https://m.media-amazon.com/images/I/51XOh571wEL._AC_UL320_.jpg,https://www.amazon.in/Prestige-1900-Induction-Cooktop-button/dp/B00NM6MO26/ref=sr_1_155?qid=1679135594&s=appliances&sr=1-155,4.0,"15,342","₹2,783","₹3,945"
155,Prestige Induction Cooktop Pic 6.1 V3 2200 Watts - Black,appliances,All Appliances,https://m.media-amazon.com/images/I/81z6RfbuUcL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PIC-6-1-V3-2000-Watt/dp/B07L12RZXL/ref=sr_1_156?qid=1679135594&s=appliances&sr=1-156,4.0,"8,522","₹3,783","₹4,300"
156,"Classic® LG Top Load Washing Machine Cover Suitable For 6 kg, 6.2 Kg, 6.5 Kg, 7 Kg (56cms X 56cms X 85cms) Black & Grey",appliances,All Appliances,https://m.media-amazon.com/images/I/81n2tlvz52L._AC_UL320_.jpg,https://www.amazon.in/Classic-Washing-Machine-Cover-Suitable/dp/B07C66LRMZ/ref=sr_1_157?qid=1679135594&s=appliances&sr=1-157,4.3,"18,297",₹499,₹900
157,"Samsung 7.0 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WT70M3000UU/TL, LIGHT GRAY, Double Storm Pulsator)",appliances,All Appliances,https://m.media-amazon.com/images/I/71StafL7njL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Semi-Automatic-WT70M3000UU-TL-Pulsator/dp/B09T6NH99B/ref=sr_1_158?qid=1679135594&s=appliances&sr=1-158,4.2,852,"₹10,890","₹13,500"
158,"Brayden Chopro Electric Vegetable Chopper for Kitchen | Onion, Carrot, Garlic & Fruits | Chop, Mince, Puree, Whisk, 500 ml...",appliances,All Appliances,https://m.media-amazon.com/images/I/61Fhg9guwmL._AC_UL320_.jpg,https://www.amazon.in/Brayden-Plastic-Express-Bi-Level-Stainless/dp/B07KKJPTWB/ref=sr_1_159?qid=1679135594&s=appliances&sr=1-159,4.4,"1,672","₹1,599","₹1,999"
159,Shakti Technology S5 High Pressure Car Washer Machine 1900 Watts and Pressure 125 Bar with 10 Meter Hose Pipe,appliances,All Appliances,https://m.media-amazon.com/images/I/71EbfVCn2hL._AC_UL320_.jpg,https://www.amazon.in/Shakti-Technology-S5-Pressure-Machine/dp/B0B2CWRDB1/ref=sr_1_160?qid=1679135594&s=appliances&sr=1-160,4.5,448,"₹5,999","₹9,999"
160,"PHILIPS Citrus Press Juicer HR2788/00, Black & Transparent, Medium",appliances,All Appliances,https://m.media-amazon.com/images/I/31oPxrU-RyL._AC_UL320_.jpg,https://www.amazon.in/Philips-Citrus-Juicer-HR2788-00/dp/B0944169JX/ref=sr_1_161?qid=1679135594&s=appliances&sr=1-161,4.3,"1,633","₹1,349","₹1,695"
161,NOVA Lint Remover for Clothes & Fabric Shaver for Woolen Clothes & Lint Shaver | 1 Year Warranty |,appliances,All Appliances,https://m.media-amazon.com/images/I/71xY36JmbRL._AC_UL320_.jpg,https://www.amazon.in/Remover-Clothes-Fabric-Shaver-Warranty/dp/B0BPSNLQB2/ref=sr_1_162?qid=1679135594&s=appliances&sr=1-162,4.3,668,₹405,₹999
162,KENT 16051 Hand Blender 300 W | 5 Variable Speed Control | Multiple Beaters & Dough Hooks | Turbo Function,appliances,All Appliances,https://m.media-amazon.com/images/I/71535ejOAWS._AC_UL320_.jpg,https://www.amazon.in/Kent-Hand-Blender-300-White/dp/B07Y5FDPKV/ref=sr_1_163?qid=1679135594&s=appliances&sr=1-163,4.2,"14,456","₹1,260","₹1,999"
163,"Samsung 23 L Solo Microwave Oven (MS23A301TAK/TL, Black, Auto Cook)",appliances,All Appliances,https://m.media-amazon.com/images/I/710GdqOStIL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Microwave-MS23A301TAK-TL-Black/dp/B09XBMHYD7/ref=sr_1_164?qid=1679135594&s=appliances&sr=1-164,4.3,"1,488","₹6,949","₹8,090"
164,"Coway Professional Air Purifier for Home, Longest Filter Life 8500 Hrs, Green True HEPA Filter, Traps 99.99% Virus & PM 0....",appliances,All Appliances,https://m.media-amazon.com/images/I/91mE+0CCnGL._AC_UL320_.jpg,https://www.amazon.in/Coway-Professional-Purifier-Anti-Virus-AP-1019C/dp/B08GJ57MKL/ref=sr_1_165?qid=1679135594&s=appliances&sr=1-165,4.4,"3,856","₹14,400","₹34,990"
165,Crompton Gracee 5-L Instant Water Heater (Geyser),appliances,All Appliances,https://m.media-amazon.com/images/I/41sQfvZMJVL._AC_UL320_.jpg,https://www.amazon.in/Crompton-Gracee-Instant-Heater-Geyser/dp/B0B3X2BY3M/ref=sr_1_166?qid=1679135594&s=appliances&sr=1-166,4.0,"11,109","₹3,699","₹7,299"
166,"Bajaj DHX-9 1000W Heavy Weight Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, Ivory",appliances,All Appliances,https://m.media-amazon.com/images/I/81c14jshH0L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-DHX-1000-Watt-Ivory-Color/dp/B009P2L7CO/ref=sr_1_167?qid=1679135594&s=appliances&sr=1-167,4.2,"10,015","₹1,099","₹1,700"
167,Philips Daily Collection HD2582/00 830-Watt 2-Slice Pop-up Toaster (White),appliances,All Appliances,https://m.media-amazon.com/images/I/51JBzLQxczL._AC_UL320_.jpg,https://www.amazon.in/Philips-Collection-HD2582-00-830-Watt/dp/B071VNHMX2/ref=sr_1_168?qid=1679135594&s=appliances&sr=1-168,4.5,"8,163",,"₹2,095"
168,PAJAKA South Indian Filter Coffee Maker 200 ML 2-4 Cup Mug Madras Kaapi Kappi Drip Decoction Maker Brewer Dripper Stainles...,appliances,All Appliances,https://m.media-amazon.com/images/I/71tBArQEJlL._AC_UL320_.jpg,https://www.amazon.in/n1-Retail-Stainless-Indian-Coffee/dp/B08KS2KQTK/ref=sr_1_169?qid=1679135595&s=appliances&sr=1-169,4.1,"1,573",₹291,₹449
169,INKULTURE Stainless_Steel Measuring Cups & Spoon Combo for Dry or Liquid/Kitchen Gadgets for Cooking & Baking Cakes/Measur...,appliances,All Appliances,https://m.media-amazon.com/images/I/61QDkUVepSL._AC_UL320_.jpg,https://www.amazon.in/INKULTURE-Stainless-Measuring-Kitchen-Gadgets/dp/B08JKPVDKL/ref=sr_1_170?qid=1679135595&s=appliances&sr=1-170,4.3,"2,409",₹295,₹749
170,Crompton SUREBREEZE HILLBRIZ DECO 1200 mm (48 inch) Ceiling Fan ( Smoked Brown ) 1 Star,appliances,All Appliances,https://m.media-amazon.com/images/I/41QzF9RX0PL._AC_UL320_.jpg,https://www.amazon.in/Crompton-SUREBREEZE-HILLBRIZ-Ceiling-Smoked/dp/B0BTSKSHNC/ref=sr_1_171?qid=1679135595&s=appliances&sr=1-171,4.0,"3,711","₹1,899","₹3,139"
171,"Lloyd 1.0 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr...",appliances,All Appliances,https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS12I3FWAEV/dp/B0BRKX6FD5/ref=sr_1_172?qid=1679135595&s=appliances&sr=1-172,4.2,"1,097","₹29,999","₹49,990"
172,"Havells 1200mm Ambrose Energy Saving Ceiling Fan (Gold Mist Wood, Pack of 1)",appliances,All Appliances,https://m.media-amazon.com/images/I/61bMMtZoveL._AC_UL320_.jpg,https://www.amazon.in/Havells-1200mm-Ambrose-Energy-Ceiling/dp/B0BSWKRMN7/ref=sr_1_173?qid=1679135595&s=appliances&sr=1-173,4.2,"2,796","₹2,325","₹3,675"
173,"GaxQuly Electric Juicer 6 Blade Rechargable Portable USB Bottle Blender Shaker Juicer A 2000 Juicer Mixer Grinder (1 Jar, ...",appliances,All Appliances,https://m.media-amazon.com/images/I/51o8FNzBCyL._AC_UL320_.jpg,https://www.amazon.in/GaxQuly-Rechargable-USB-Multicolor-JUICER/dp/B0BQVVS9S7/ref=sr_1_174?qid=1679135595&s=appliances&sr=1-174,4.2,123,₹799,"₹2,599"
174,"Godrej 180 L 4 Star Direct Cool Single Door Refrigerator (RD EDGENEO 207D THF AQ BL, Aqua Blue, Turbo Cooling Technology, ...",appliances,All Appliances,https://m.media-amazon.com/images/I/61eU1t-ag2L._AC_UL320_.jpg,https://www.amazon.in/Godrej-Direct-Cool-Refrigerator-EDGENEO-Technology/dp/B0BV27HC9R/ref=sr_1_175?qid=1679135595&s=appliances&sr=1-175,4.2,"1,282","₹14,690","₹18,990"
175,"PHILIPS HL1655/00 Hand Blender, 250W",appliances,All Appliances,https://m.media-amazon.com/images/I/41-5nd-r6bL._AC_UL320_.jpg,https://www.amazon.in/Philips-Collection-HL1655-00-250-Watt/dp/B00YQLG7GK/ref=sr_1_176?qid=1679135595&s=appliances&sr=1-176,4.2,"14,562","₹1,699","₹2,095"
176,Akiara - Makes life easy Mini Sewing Machine with Table Set | Tailoring Machine | Hand Sewing Machine with extension tabl...,appliances,All Appliances,https://m.media-amazon.com/images/I/81wUYpGgUGL._AC_UL320_.jpg,https://www.amazon.in/akiara-Machine-Stitching-extension-adapter/dp/B09R83SFYV/ref=sr_1_177?qid=1679135595&s=appliances&sr=1-177,3.7,"1,325","₹1,499","₹2,499"
177,"SimpleTaste Electric Milk Frother Coffee Frother, One Touch Handheld Foam Maker Electric Milk Frother | Lattes, Cappuccin...",appliances,All Appliances,https://m.media-amazon.com/images/I/714quP81A7L._AC_UL320_.jpg,https://www.amazon.in/SimpleTaste-Electric-Cappuccino-Mocktails-Chocolate/dp/B0BSRB1FLQ/ref=sr_1_178_mod_primary_new?qid=1679135595&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-178,4.5,"7,44",₹249,₹899
178,Polycab Elanza 5 Blade 400mm Mini Pedestal Fan with 2 Year Warranty (Black),appliances,All Appliances,https://m.media-amazon.com/images/I/617UZGtTvCL._AC_UL320_.jpg,https://www.amazon.in/Polycab-India-Elanza-ELANZA-PEDESTAL/dp/B09637JLXN/ref=sr_1_179?qid=1679135595&s=appliances&sr=1-179,3.7,33,"₹1,899","₹2,799"
179,"Samsung 6.0 Kg Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW60R20GLMA/TL, White, Hygiene Steam)",appliances,All Appliances,https://m.media-amazon.com/images/I/71zBUvib7WL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Fully-Automatic-Loading-WW60R20GLMA-TL/dp/B084LGQKD7/ref=sr_1_180?qid=1679135595&s=appliances&sr=1-180,4.4,"6,743","₹22,990","₹26,900"
180,Activa Easy Mix Nutri Mixer Grinder 500 Watt | Long Lasting Shock Proof ABS Body | Heavy Duty Motor With Nano - Grinding T...,appliances,All Appliances,https://m.media-amazon.com/images/I/61uE9aOtNzL._AC_UL320_.jpg,https://www.amazon.in/Activa-Nutri-Mixer-Grinder-Lasting/dp/B0BDZWMGZ1/ref=sr_1_181?qid=1679135595&s=appliances&sr=1-181,3.9,305,"₹1,249","₹3,990"
181,"Yellow Weaves Waterproof & Dust-Proof Top Loading Fully Automatic Washing Machine Cover for 6 kg, 6.5 kg, 7kg & 7.5 kg -(G...",appliances,All Appliances,https://m.media-amazon.com/images/I/510HLrjfohL._AC_UL320_.jpg,https://www.amazon.in/Yellow-Weaves-Waterproof-Dust-Proof-Automatc/dp/B09CL4SK8H/ref=sr_1_182?qid=1679135595&s=appliances&sr=1-182,4.1,"3,355",₹399,₹649
182,"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans - 1.8 Liters, White",appliances,All Appliances,https://m.media-amazon.com/images/I/61fvmjwcxpL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PRWO-1-8-2-700-Watts-Aluminium/dp/B00935MD1C/ref=sr_1_183?qid=1679135595&s=appliances&sr=1-183,3.7,"13,677","₹2,454","₹2,495"
183,"Samsung 253L 3 Star Inverter Frost Free Double Door Refrigerator (RT28T3743S8/HL, Silver, Elegant Inox, Convertible, 2022 ...",appliances,All Appliances,https://m.media-amazon.com/images/I/61zdJx26rqL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Refrigerator-RT28T3743S8-HL-Convertible/dp/B08346545V/ref=sr_1_184?qid=1679135595&s=appliances&sr=1-184,4.3,"3,072","₹26,490","₹34,990"
184,Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder,appliances,All Appliances,https://m.media-amazon.com/images/I/71u4k4-PFNL._AC_UL320_.jpg,https://www.amazon.in/Sujata-Powermatic-Watts-Juicer-Grinder/dp/B071113J7M/ref=sr_1_185?qid=1679135595&s=appliances&sr=1-185,4.5,"7,422","₹5,870","₹7,506"
185,"FIGMENT Table Fan Table Fan High Speed, Powerful Rechargeable 1.5 Watts Table Fan with 21 SMD LED Light, Table Fan for Hom...",appliances,All Appliances,https://m.media-amazon.com/images/I/41q1NHA1QtL._AC_UL320_.jpg,https://www.amazon.in/FIGMENT-Powerful-Rechargeable-Kitchen-standard/dp/B0BQVV7T93/ref=sr_1_186?qid=1679135595&s=appliances&sr=1-186,4.7,117,₹849,₹999
186,"Sujata Powermatic Plus, Juicer Mixer Grinder with Chutney Jar, 900 Watts, 3 Jars (White)",appliances,All Appliances,https://m.media-amazon.com/images/I/61km34kPOOL._AC_UL320_.jpg,https://www.amazon.in/Plastic-Powermatic-Jar-Juicer-Grinder-Chutney/dp/B07Y9PY6Y1/ref=sr_1_187?qid=1679135595&s=appliances&sr=1-187,4.5,"5,351","₹6,490","₹7,308"
187,KONVIO NEER 10 Inch Spun Filter (PP Spun) Cartridge Compatible for 10 Inch Pre-Filter Housing of Water Purifier | Pack of ...,appliances,All Appliances,https://m.media-amazon.com/images/I/61pTRuXsTLL._AC_UL320_.jpg,https://www.amazon.in/KONVIO-NEER-Cartridge-Compatible-Pre-Filter/dp/B08K36NZSV/ref=sr_1_188?qid=1679135595&s=appliances&sr=1-188,4.3,"1,688",₹499,₹999
188,XL Kitchen Adjustable Washing Machine Trolley for Top Load and Fridge Stand,appliances,All Appliances,https://m.media-amazon.com/images/I/614LYIgXd4L._AC_UL320_.jpg,https://www.amazon.in/XL-Kitchen-Adjustable-Washing-Capacity/dp/B09RHGD62L/ref=sr_1_189?qid=1679135595&s=appliances&sr=1-189,3.6,"1,16",₹549,"₹1,599"
189,"Philips GC026/30 Fabric Shaver, Lint Remover for Woolen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpet...",appliances,All Appliances,https://m.media-amazon.com/images/I/81nQXF18eiL._AC_UL320_.jpg,https://www.amazon.in/Philips-GC026-30-Fabric-Shaver/dp/B00TDD0YM4/ref=sr_1_190?qid=1679135595&s=appliances&sr=1-190,4.3,"3,835","₹1,690","₹1,695"
190,"Usha Goliath GO1200WG Heavy Weight 1200-Watt Dry Iron, 1.8 Kg(Red)",appliances,All Appliances,https://m.media-amazon.com/images/I/71wxooHO7TL._AC_UL320_.jpg,https://www.amazon.in/Goliath-GO1200WG-Weight-1200-Watt-Maroon/dp/B0883LQJ6B/ref=sr_1_191?qid=1679135595&s=appliances&sr=1-191,4.2,"4,784","₹1,199","₹1,990"
191,"Prestige Deluxe Alpha Svachh Stainless Steel Spillage Control Pressure Cooker, 3 L (Silver)",appliances,All Appliances,https://m.media-amazon.com/images/I/51yA9EZIhYL._AC_UL320_.jpg,https://www.amazon.in/Prestige-Svachh-Deluxe-Stainless-Pressure/dp/B0843YL5RH/ref=sr_1_192?qid=1679135595&s=appliances&sr=1-192,4.3,"20,646","₹2,382","₹2,480"
192,"Samsung 189 L 5 Star Inverter Direct-Cool Single Door Refrigerator (RR21C2H25CR/HL, Camellia Purple, Base Stand with Drawer)",appliances,All Appliances,https://m.media-amazon.com/images/I/61pZR4rv-WL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR21C2H25CR-HL/dp/B0BR3XFWKD/ref=sr_1_193?qid=1679135597&s=appliances&sr=1-193,4.4,"3,477","₹17,890","₹24,999"
193,Wipro Smartlife Popular Dry Iron - 1000W,appliances,All Appliances,https://m.media-amazon.com/images/I/61JPxrg2-xL._AC_UL320_.jpg,https://www.amazon.in/Wipro-Smartlife-Popular-Dry-Iron/dp/B00B7GKY5C/ref=sr_1_194?qid=1679135597&s=appliances&sr=1-194,4.0,755,₹479,₹649
194,"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr,Mushroom Print,White, Set of 2 ,Cardboard",appliances,All Appliances,https://m.media-amazon.com/images/I/61UdN7W8DJL._AC_UL320_.jpg,https://www.amazon.in/PrettyKrafts-Laundry-clothes-Organiser-Mushroom/dp/B08YYX4W3L/ref=sr_1_195?qid=1679135597&s=appliances&sr=1-195,3.8,53,₹380,"₹1,499"
195,"Kent Gold, Optima, Gold+ Spare Kit",appliances,All Appliances,https://m.media-amazon.com/images/I/61ksZaPwRIL._AC_UL320_.jpg,https://www.amazon.in/Kent-Gold-Optima-Spare-Kit/dp/B00SMFPJG0/ref=sr_1_196?qid=1679135597&s=appliances&sr=1-196,4.1,"7,915",₹649,₹670
196,"Bajaj 1701 MT 17L Solo Microwave Oven, White",appliances,All Appliances,https://m.media-amazon.com/images/I/61pDIEAuU1L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Microwave-1701-MT-White/dp/B00F15AFPY/ref=sr_1_197?qid=1679135597&s=appliances&sr=1-197,4.3,"5,066","₹4,799","₹6,299"
197,"LG 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Wind Jet Dry)",appliances,All Appliances,https://m.media-amazon.com/images/I/61xtcXJfYaL._AC_UL320_.jpg,https://www.amazon.in/LG-P7020NGAZ-Fully-Automatic-Washing-Machine/dp/B09DD573SY/ref=sr_1_198?qid=1679135597&s=appliances&sr=1-198,4.3,"4,526","₹12,490","₹16,090"
198,"Prestige Aluminium Omega Select Plus Non Stick Paniyarakkal with Lid (24 cm, Black)- Gas Top Compatible Only, Black",appliances,All Appliances,https://m.media-amazon.com/images/I/71J93Wb4DFL._AC_UL320_.jpg,https://www.amazon.in/Prestige-Omega-Select-Non-Stick-Paniyarakkal/dp/B0188K43T2/ref=sr_1_199?qid=1679135597&s=appliances&sr=1-199,4.4,"9,875","₹1,170","₹1,190"
199,"Lloyd 1.5 Ton 5 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr...",appliances,All Appliances,https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I5FWBEV/dp/B0BRKXBRMF/ref=sr_1_200?qid=1679135597&s=appliances&sr=1-200,4.3,"1,494","₹39,990","₹67,990"
200,KENT 16025 Sandwich Grill 700W | Non-Toxic Ceramic Coating | Automatic Temperature Cut-off with LED Indicator | Adjustable...,appliances,All Appliances,https://m.media-amazon.com/images/I/71C3psw4rzS._AC_UL320_.jpg,https://www.amazon.in/Kent-16025-700-Watt-Sandwich-Grill/dp/B07GWTWFS2/ref=sr_1_201?qid=1679135597&s=appliances&sr=1-201,4.1,"4,907","₹1,648","₹1,975"
201,"Ikea 903.391.72 Polypropylene Plastic Solid Bevara Sealing Clip (Multicolour) - 30 Pack, Adjustable",appliances,All Appliances,https://m.media-amazon.com/images/I/71pLRWU6+2L._AC_UL320_.jpg,https://www.amazon.in/Ikea-903-391-72-Sealing-assorted-30-pack/dp/B00SH18114/ref=sr_1_202_mod_primary_new?qid=1679135597&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-202,4.6,"2,926",₹156,₹299
202,"Milton Go Electro 1.2 Stainless Steel Electric Kettle, 1.2 Litres, 1 Piece, Silver | 1500 Watts | Auto Cut-off | Detachabl...",appliances,All Appliances,https://m.media-amazon.com/images/I/61yL5Y7JVaS._AC_UL320_.jpg,https://www.amazon.in/MILTON-Electric-Stainless-Kettle-Silver/dp/B092SX1C6Y/ref=sr_1_203?qid=1679135597&s=appliances&sr=1-203,4.0,488,₹795,"₹1,199"
203,Dr Trust (USA) Electronic Kitchen Digital Scale Weighing Machine - 517 (Gray),appliances,All Appliances,https://m.media-amazon.com/images/I/81Vl38TKU-L._AC_UL320_.jpg,https://www.amazon.in/Dr-Trust-Electronic-Kitchen-Weighing/dp/B08BGGX516/ref=sr_1_204?qid=1679135597&s=appliances&sr=1-204,4.1,"3,819",₹699,"₹1,500"
204,"Usha Steam Pro SI 3713, 1300 W Steam Iron, Powerful steam Output up to 18 g/min, Non-Stick Soleplate (White & Blue)",appliances,All Appliances,https://m.media-amazon.com/images/I/81GbMUcpg3L._AC_UL320_.jpg,https://www.amazon.in/Usha-Steam-3713-1300-Watt-White/dp/B07989VV5K/ref=sr_1_205?qid=1679135597&s=appliances&sr=1-205,3.6,"5,059","₹1,099","₹1,560"
